id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_14d_in_currency,price_change_percentage_1h_in_currency,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,created_date
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,90.38,11471498290.0,11.0,42527520866.0,274808208.0,106.32,86.1,-15.93072609,-14.98436,-1967879383.2656002,-14.64264,126567083.2,469213710.0,469213710.0,700.65,-87.32401,2021-05-10T16:05:53.653Z,86.1,3.14928,2021-06-08T03:29:17.669Z,,2021-06-08T04:13:23.223Z,-38.73450599822867,3.9940787665541535,,,-14.984356114765102,,-21.115386975927848,2021-06-07 21:14:19
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,583.09,10932751444.0,12.0,,4349747244.0,671.81,572.47,-83.63910247,-12.54474,-1585303787.0719414,-12.66414,18758043.6467894,21000000.0,,3785.82,-84.65627,2017-12-20T00:00:00.000Z,76.93,655.03697,2018-12-16T00:00:00.000Z,,2021-06-08T04:13:37.144Z,-22.247155846926336,0.90657562677425,130.35766193070398,137.82080466992662,-12.54474205913767,-58.33573867112211,-17.37360457691297,2021-06-07 21:14:19
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,157.9,10512929678.0,13.0,,3944064556.0,182.33,154.44,-23.98649391,-13.18729,-1653217648.6197608,-13.58867,66752414.5153875,84000000.0,,410.26,-61.71674,2021-05-10T03:13:07.904Z,1.15,13571.22414,2015-01-14T00:00:00.000Z,,2021-06-08T04:12:26.090Z,-13.88545658173905,1.532278626662165,238.9579422188452,94.16847994386998,-13.18729417940451,-54.31595154944445,-15.769102134873508,2021-06-07 21:14:19
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,24.16,10400735366.0,14.0,24131101669.0,1619521171.0,28.71,23.41,-4.0949528,-14.49062,-1806752315.748108,-14.80036,431009553.9174637,1000000000.0,1000000000.0,52.7,-54.40898,2021-05-10T00:13:57.214Z,0.148183,16112.98398,2017-11-29T00:00:00.000Z,,2021-06-08T04:13:21.620Z,-7.767852053478993,2.6504019310657783,456.33782633888654,77.48821447965538,-14.490616956100258,-50.27031986404887,-24.420753903954836,2021-06-07 21:14:19
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,37.71,10264237077.0,15.0,18395955724.0,1296224214.0,44.12,35.88,-5.42927281,-12.58469,-1517661637.4798164,-12.8813,272637122.50492,488630611.0,488630611.0,58.03,-35.7165,2021-05-18T16:59:08.690Z,0.500801,7349.2956,2020-05-11T19:35:23.449Z,,2021-06-08T04:12:44.559Z,21.710680258228756,4.038930140543143,5988.823441746261,1721.2638643730756,-12.584687562120141,-17.45197039520532,15.462866826360441,2021-06-07 21:14:19
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,9619833374.0,16.0,,5806630475.0,1.01,0.973012,-0.00126168,-0.12572,-91805042.5079956,-0.94531,9594508560.09,9594508560.09,,1.15,-13.12651,2020-03-13T02:35:42.953Z,0.901127,11.27145,2021-05-19T13:04:37.445Z,,2021-06-08T04:13:15.883Z,0.22373600195909238,1.4030873273897693,0.2080909409293314,0.20856195771500824,-0.12572367283331537,0.1668396172818432,0.10027368079259329,2021-06-07 21:14:19
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic___polygon.jpg?1612939050,1.44,9064459033.0,17.0,14412686600.0,2275814038.0,1.71,1.39,-0.27204509,-15.86818,-1758029003.3401833,-16.24422,6289222325.0,10000000000.0,10000000000.0,2.62,-45.29865,2021-05-18T19:38:18.813Z,0.00314376,45495.34729,2019-05-10T00:00:00.000Z,"{'times': 547.4264297179387, 'currency': 'usd', 'percentage': 54742.64297179388}",2021-06-08T04:13:29.278Z,-15.161472356648456,2.833672872732596,7006.662697993457,8269.86352082295,-15.868177945254505,69.88754103074695,-23.199207342903854,2021-06-07 21:14:19
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,8.78,8689197119.0,18.0,,901057502.0,10.01,8.32,-0.43609665,-4.7295,-577841935.7480221,-6.23545,1000000000.0,1000000000.0,,15.72,-45.19663,2021-04-16T13:15:11.190Z,0.04039979,21224.20475,2020-03-13T02:24:16.483Z,"{'times': 57.56450800467506, 'currency': 'usd', 'percentage': 5756.450800467506}",2021-06-08T04:12:54.519Z,30.588706008859624,2.866177479926353,3204.15278332337,1310.019774828358,-4.729502178945008,-29.211268626316773,23.928992193069533,2021-06-07 21:14:19
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.336605,7781450937.0,19.0,,737593012.0,0.392123,0.326079,-0.05349323,-13.71276,-1255010852.5170069,-13.8883,23137790422.9658,50000000000.0,,0.875563,-61.75899,2018-01-03T00:00:00.000Z,0.00047612,70222.97456,2015-03-05T00:00:00.000Z,,2021-06-08T04:13:20.209Z,-22.944657751847906,1.5652575186437585,328.0920332218398,300.67008734668354,-13.712761905981846,-45.45054232806699,-16.218232205400337,2021-06-07 21:14:19
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.112026,7301123505.0,20.0,,1488331295.0,0.13578,0.108589,-0.01896384,-14.47739,-1267593717.0237474,-14.79327,65241752869.0,86712634466.0,,0.280991,-60.36294,2021-04-19T01:08:21.675Z,0.00191713,5709.53979,2020-03-13T02:29:59.652Z,"{'times': 14.57675969662331, 'currency': 'eth', 'percentage': 1457.6759696623308}",2021-06-08T04:13:42.252Z,-1.2028842009455767,1.9971488991998396,1451.9645231797217,873.5585099440164,-14.477387065123567,-50.51049476631299,-11.426813534238358,2021-06-07 21:14:19
